"AchievementMetric","CareerGroup","StudentGroup","StudentCategory","StudentCategoryDetail","MetricSeason","MetricTermCode","MetricTermDesc","Metric_Numerator","Metric_Denominator","Metric_Percentage","Sys_DateUpdated"
"Course Completion","Graduate","All Graduate Students","IPEDS Race/Ethnicity","White","Spring","202210","Spring 2022","3145","3270",".961773700305810442","2022-09-14 21:27:47.783000000"
"Course Completion","Graduate","All Graduate Students","IPEDS Race/Ethnicity","Nonresident Alien","Fall","201780","Fall 2017","63","61","1.032786885245901676","2022-09-14 21:27:47.783000000"
"Course Completion","Graduate","Masters","IPEDS Race/Ethnicity","Native Hawaiian and Other Pacific Islander","Fall","202180","Fall 2021","1","1","1.000000000000000000","2022-09-14 21:27:47.783000000"
"Course Completion","Graduate","All Graduate Students","Credit Category","Distance Education Credit Only","Spring","202210","Spring 2022","1225","1270",".964566929133858220","2022-09-14 21:27:47.783000000"
"Course Completion","Graduate","All Graduate Students","IPEDS Race/Ethnicity","Unknown Race and Ethnicity","Spring","201910","Spring 2019","5","5","1.000000000000000000","2022-09-14 21:27:47.783000000"
"Graduation Rate","Undergraduate","All Undergraduate Students","Gender","Male","Fall","201780","Fall 2017","702","1305",".537931034482758585","2022-09-14 21:27:47.783000000"
"Course Completion","Undergraduate","All Undergraduate Students","IPEDS Race/Ethnicity","Asian","Spring","202010","Spring 2020","443","485",".913402061855670078","2022-09-14 21:27:47.783000000"
"Course Completion","Undergraduate","All Undergraduate Students","Credit Category","Resident and Distance Education Dual","Fall","202080","Fall 2020","23","24",".958333333333333370","2022-09-14 21:27:47.783000000"
"Graduation Rate","Undergraduate","Transfers","IPEDS Race/Ethnicity","Asian","Spring","201710","Spring 2017","0","3",".000000000000000000","2022-09-14 21:27:47.783000000"
"Course Completion","Graduate","All Graduate Students","IPEDS Race/Ethnicity","Unknown Race and Ethnicity","Fall","201780","Fall 2017","2","2","1.000000000000000000","2022-09-14 21:27:47.783000000"
